<<<<<<< HEAD
1 14.758915 -2.413181
1 -10.602479 -1.739592
1 10.780501 -1.585047
1 -8.975477 -1.720236
1 9.729885 -1.615301
1 -10.674332 -1.629166
1 9.418517 -1.669401
1 9.730215 -1.876421
1 13.209627 -2.059102
1 10.104242 -1.500789
1 9.813003 -1.553539
1 -9.306232 -2.024538
1 -10.884061 -1.710346
1 -9.004707 -1.743494
1 -9.755934 -1.719727
1 9.553948 -1.817575
1 -10.322421 -1.633254
1 -9.779396 -1.639569
1 10.142740 -1.704147
1 10.071534 -1.453699
1 9.419572 -1.437607
1 5.920819 -0.257799
1 -9.201692 -1.928168
1 -10.925207 -1.752646
1 -9.021665 -1.794669
1 -9.086271 -1.851109
1 -9.180777 -1.927159
1 -9.188183 -1.859932
1 10.469499 -1.605389
1 -9.447069 -1.775324
1 -9.056887 -1.721209
1 9.474378 -1.420798
1 8.857568 -1.389361
1 10.003507 -1.477979
1 8.428271 0.000628
1 11.297505 -1.723828
1 -9.293413 -1.947534
1 -9.144854 -1.766520
1 9.547758 -1.824765
1 9.654874 -1.833361
1 -10.823610 -1.621712
1 -10.819733 -1.623906
1 -10.985825 -1.676599
1 9.567185 -1.872318
1 -9.640499 -1.733689
1 -10.948585 -1.829407
1 -10.686658 -1.639588
1 11.358421 -1.915311
1 -9.024865 -1.751361
1 -9.150472 -1.799027
1 9.190767 -1.106754
1 -10.888450 -1.820382
1 -9.582791 -1.838132
1 -10.666671 -1.497760
1 -10.615590 -1.644419
1 9.660413 -1.632862
1 10.900062 -1.583595
1 10.419630 -1.842159
1 9.347361 -1.637008
1 -9.059834 -1.779286
1 9.636159 -1.742349
1 -9.212008 -1.741102
1 8.413081 -0.007160
1 9.986716 -1.523409
1 10.417515 -1.567801
1 -9.014880 -1.644222
1 -9.261507 -1.792070
1 -10.551567 -1.573997
1 12.207216 -2.015655
1 -10.528899 -1.614554
1 9.453090 -1.747908
1 11.786064 -1.967951
1 -9.516068 -1.731449
1 10.840137 -1.713286
1 9.532177 -1.756934
1 9.569128 -1.855144
1 9.984441 -1.564150
1 9.634479 -1.774829
1 -10.941486 -1.822259
1 -10.970246 -1.642452
1 -9.041084 -1.727005
1 -9.476369 -2.011167
1 9.994171 -1.726048
1 -10.769330 -1.591722
1 -8.921633 -1.716849
1 8.626999 0.044393
1 9.264446 -1.592662
1 -10.910140 -1.638167
1 10.193486 -1.280762
1 9.519100 -1.869699
1 -9.168777 -1.825559
1 -10.183659 -1.730141
1 -10.925294 -1.830461
1 11.595048 -1.968475
1 10.686438 -1.672272
1 9.593202 -1.786695
1 11.352360 -1.751743
1 9.635261 -1.828698
1 9.884544 -1.438486
1 9.708607 -1.446779
1 9.589241 -1.844675
1 8.588805 -0.227857
1 9.294628 -1.387887
1 -9.308349 -2.014486
1 9.277527 -1.725699
1 10.129245 -1.512980
1 -11.021823 -1.626903
1 -9.279445 -1.773902
1 -10.471470 -1.556788
1 -10.620057 -1.653672
1 -6.209435 -1.511640
1 9.500190 -1.812052
1 13.664562 -2.349091
1 -10.800997 -1.619031
1 14.501163 -2.382548
1 12.779160 -2.236401
1 -9.120648 -1.783739
1 9.053541 -0.583875
1 -9.106363 -1.876813
1 14.494112 -2.346031
1 9.432328 -1.780298
1 9.891424 0.135969
1 9.650256 -1.740479
1 12.807740 -2.080194
1 10.553462 -1.577052
1 9.666632 -1.862510
1 -10.220524 -1.630677
1 13.042326 -2.056927
1 9.363935 -1.586856
1 -10.665310 -1.650156
1 9.852315 -1.522687
1 -10.952945 -1.832400
1 9.780532 -1.440660
1 13.342226 -2.099596
1 -10.989945 -1.599888
1 -9.059408 -1.860428
1 -8.508022 -1.662544
1 9.448895 -1.786301
1 9.479284 -1.835268
1 -9.028816 -1.799523
1 9.725062 -1.865772
1 -9.080267 -1.774160
1 -9.136845 -1.681042
1 9.795704 -1.921922
1 8.363292 0.075531
1 10.115257 -1.526195
1 16.329498 -2.699535
1 9.632863 -1.853616
1 -10.384608 -1.696525
1 -8.936560 -1.777104
1 9.648299 -1.841336
1 -10.952127 -1.607690
1 -9.505761 -1.750962
1 -10.448779 -1.639921
1 -10.897695 -1.804627
1 9.424644 -1.757838
1 -10.616580 -1.792516
1 9.668097 -1.786330
1 11.220787 -1.707939
1 -10.831135 -1.629326
1 9.331616 -1.770494
1 10.061506 -1.499467
1 -9.051176 -1.815665
1 9.568486 -1.790518
1 10.178531 -1.519944
1 10.224022 -1.553132
1 9.511688 -1.810498
1 11.095552 -1.725328
1 12.610226 -2.148643
1 9.277950 -1.672361
1 -9.157547 -1.746376
1 -10.640414 -1.635793
1 8.305650 0.101877
1 9.101712 -1.692729
1 -9.258594 -1.982505
1 -10.548828 -1.752023
1 -9.049583 -1.778534
1 9.386301 -1.691936
1 -9.072167 -1.730758
1 10.297531 -1.558198
1 9.481486 -1.738337
1 9.416289 -1.845043
1 9.633499 -1.862489
1 -10.763750 -1.709007
1 -9.097499 -1.793402
1 9.481188 -1.799024
1 9.672689 -1.607397
1 10.099080 -1.533953
1 9.630863 -1.620204
1 -9.063852 -1.849373
1 -10.885349 -1.613582
1 10.097227 -1.551802
1 11.416121 -1.850870
1 10.242701 -1.561141
1 -10.537587 -1.794366
1 -9.010927 -1.728466
1 8.785258 -0.425959
1 9.721229 -1.843162
1 9.655872 -1.443653
1 9.826245 -1.936684
1 -10.882357 -1.629497
1 8.178277 0.042484
1 9.576760 -1.850879
1 9.235680 -1.638272
1 13.592890 -2.196312
1 11.916699 -1.825984
1 9.551003 0.044719
1 -9.181554 -1.816276
1 -10.160555 -1.711741
1 8.357466 0.041499
1 10.481228 -1.602075
1 -8.995175 -1.787605
1 9.662497 -1.822068
1 9.518423 -1.797534
1 14.291476 -2.323168
1 9.557264 -1.722913
1 -9.828033 -1.724322
1 -10.942552 -1.852608
1 9.528105 -1.744470
1 11.755303 -1.834981
1 -9.215014 -1.951787
1 -9.126608 -1.647807
1 9.598743 -1.758867
1 9.412214 -1.713784
1 12.671169 -2.162411
1 -9.825933 -1.775311
1 9.576986 -1.905856
1 -10.935613 -1.817380
1 9.580468 -1.842904
1 -9.998369 -1.745346
1 -9.649340 -1.743393
1 10.163127 -1.647477
1 -10.904867 -1.591706
1 -10.692778 -1.609325
1 9.356112 -1.772079
1 9.621218 -1.868189
1 9.533806 -1.810911
1 -10.752811 -1.708890
1 -9.291045 -1.745592
1 -9.160945 -1.813512
1 -10.424995 -1.769519
1 -9.332003 -1.935799
1 11.160666 -1.643743
1 -10.872819 -1.658464
1 9.488550 -1.811478
1 -9.014636 -1.805858
1 11.293677 -1.765411
1 -10.928131 -1.642993
1 9.260604 -1.606308
1 -9.600982 -1.702320
1 -9.266692 -1.772031
1 9.905534 -1.715354
1 9.614836 -1.825683
1 8.444989 -0.983591
1 9.074763 -1.260383
1 9.597598 -1.766415
1 9.494055 -1.744494
1 9.436394 -1.762412
1 9.438107 -1.750442
1 12.828686 -2.078469
1 11.206310 -1.748187
1 10.919335 -1.807112
1 9.674256 -1.808314
1 -9.165911 -1.871787
1 9.514047 -1.853247
1 -9.121899 -1.770981
1 8.932573 0.002185
1 -10.947310 -1.645693
1 -9.036626 -1.760768
1 -9.115079 -1.726703
1 9.401199 -1.853030
1 -8.690286 -1.661514
1 9.654625 -1.758101
1 9.630936 -1.863137
1 -9.338509 -1.704487
1 9.699531 -1.840385
1 -8.768582 -1.715097
1 9.607093 -1.828546
1 11.351215 -1.755785
1 9.416499 -1.634418
1 -9.680933 -1.748388
1 10.387179 -1.629077
1 9.604597 -1.829645
1 9.765975 -1.682967
1 10.741707 -1.716542
1 10.517050 -1.532634
1 -8.300159 -1.549378
1 8.616428 -0.154774
1 -9.115881 -1.790294
1 9.296408 -1.676192
1 -9.192454 -1.928939
1 -10.698238 -1.656146
1 9.223792 -1.627810
1 -10.699652 -1.703495
1 14.022725 -2.224273
1 9.638515 -1.825110
1 -9.098407 -1.729730
1 9.998339 -1.520260
1 9.944874 -1.663888
1 11.248201 -1.803420
1 -9.125912 -1.773822
1 10.459431 -1.665223
1 -9.149661 -1.831159
1 -10.994818 -1.818563
1 -9.107364 -1.889473
1 10.374120 -1.660057
1 10.558838 -1.520425
1 9.620190 -1.828718
1 -9.594069 -2.013751
1 14.148474 -2.294354
1 13.213620 -2.112326
1 -9.280306 -1.697074
1 9.753777 -1.541448
1 -10.967455 -1.817618
1 11.304865 -1.815430
1 9.938380 -1.764105
1 -8.944494 -1.719929
1 -9.072148 -1.757337
1 9.565399 -1.844320
1 9.507194 -1.780868
1 10.263829 -1.498521
1 9.635372 -1.779447
1 9.423232 -1.764307
1 -9.150286 -1.954806
1 10.208886 -1.452914
1 9.542855 -1.837567
1 -9.952594 -1.769913
1 -9.173440 -1.842927
1 9.648809 -1.767221
1 -9.273193 -1.891607
1 9.440314 -1.526183
1 -10.980265 -1.755147
1 9.530779 -1.784276
1 9.546457 -1.756416
1 -9.291142 -1.933261
1 -9.569360 -1.770541
1 -9.360291 -1.691045
1 -9.622286 -1.776010
1 -9.433520 -1.732031
1 9.666301 -1.735600
1 9.720344 -1.730325
1 -9.306887 -1.744599
1 -10.879162 -1.583921
1 8.300394 0.023344
1 -10.138891 -1.775996
1 -2.486662 -0.968623
1 13.047644 -2.131802
1 10.982166 -1.570420
1 12.305579 -1.829749
1 -10.957635 -1.821191
1 -9.742438 -1.744154
1 -10.269851 -1.761042
1 10.189817 -1.591474
1 -10.952181 -1.820682
1 17.031109 -2.838852
1 8.239386 -0.028237
1 9.473537 -1.708775
1 -10.946438 -1.626757
1 -9.027801 -1.716398
1 9.526189 -1.848087
1 15.107756 -2.445838
1 12.419455 -1.902893
1 -10.879747 -1.799949
1 -9.193460 -1.805252
1 -10.998723 -1.709381
1 -9.202480 -1.845675
1 -9.687125 -2.015691
1 -10.467458 -1.691318
1 -10.785479 -1.842561
1 -10.856754 -1.788472
1 -10.265527 -1.755539
1 -10.984591 -1.651848
1 16.016903 -2.636745
1 9.549830 -1.812544
1 -4.844263 -1.266703
1 -10.863821 -1.602841
1 8.451079 -0.085312
1 8.770632 -1.044016
1 9.345502 -1.789628
1 10.656154 -1.621808
1 -10.543799 -1.647566
1 8.949075 -1.456932
1 -9.099994 -1.854914
1 -10.899569 -1.542005
1 9.490019 -1.808541
1 8.424032 -0.282968
1 9.078409 -1.405418
1 -9.112041 -1.812708
1 17.747915 -2.956918
1 9.837480 -1.756464
1 -10.955625 -1.598515
1 11.148168 -1.821118
1 11.036466 -1.934082
1 9.705924 -1.809908
1 -9.659049 -1.696638
1 -10.873897 -1.600139
1 9.448423 -1.737437
1 9.603164 -1.730983
1 -10.270632 -1.837373
1 -9.353427 -2.013931
1 9.197410 -1.700348
1 9.589660 -1.574009
1 9.555128 -1.820027
1 11.068248 -1.731410
1 11.671516 -1.853633
1 -10.989381 -1.810106
1 9.396091 -1.712250
1 -10.905932 -1.819446
1 12.094500 -2.073971
1 10.088561 -1.573135
1 9.554348 -1.889153
1 -8.959891 -1.843647
1 9.529898 -1.764029
1 -10.841426 -1.730264
1 -9.165553 -1.757940
1 9.579981 -1.835333
1 9.431976 -1.585742
1 10.540256 -1.541162
1 -10.829304 -1.790770
1 -9.501418 -1.951766
1 10.133614 -1.580888
1 17.437386 -2.785786
1 -10.939434 -1.839518
1 -9.940593 -1.762644
1 -6.396570 -1.414812
1 9.776279 -1.979730
1 -9.295914 -2.005954
1 -8.761591 -1.684913
1 9.530858 -1.672801
1 -10.436921 -1.830339
1 -10.480837 -1.691778
1 11.868068 -1.860436
1 8.843119 -1.512807
1 8.696487 -0.505095
1 9.667574 -1.872905
1 -9.430128 -1.724822
1 -7.378548 -1.523664
1 9.330266 -1.737772
1 13.592352 -2.230898
1 9.550641 -1.775641
1 -8.971414 -1.793101
1 -10.960027 -1.613999
1 -9.904244 -1.758615
1 10.321250 -1.519079
1 -10.953184 -1.810018
1 -9.125275 -1.794099
1 8.454853 -1.237360
1 -9.276949 -1.968734
1 9.614155 -1.858958
1 11.812553 -1.861421
1 -8.888503 -1.753086
1 9.710212 -1.416740
1 -10.690821 -1.635178
1 -10.303456 -1.772447
1 -6.134616 -1.385184
1 -10.598012 -1.781461
1 9.654544 -1.780054
1 9.855447 -1.613388
1 9.572913 -1.873955
1 8.070770 0.124360
1 -9.702982 -1.753652
1 9.292810 -1.756139
1 -10.942324 -1.677647
1 -10.769476 -1.773465
1 -10.906317 -1.652980
1 9.842229 -1.625643
1 9.316351 -1.757291
1 9.503283 -1.780154
1 -10.749196 -1.775317
1 -10.129706 -1.745513
1 -9.409922 -1.692406
1 -10.775800 -1.798038
1 -9.345774 -1.796187
1 -10.674513 -1.533096
1 -11.083950 -1.785264
1 10.289764 -1.579036
1 -9.024357 -1.723770
