<<<<<<< HEAD
0 7.995843 -0.011689
0 -12.160902 -0.097921
0 -11.274656 1.772016
0 -8.967772 1.645439
0 12.148999 0.136807
0 10.929569 1.906363
0 -7.979849 -0.152805
0 -10.912259 1.778417
0 9.125254 1.740207
0 -8.121454 0.196395
0 -10.958495 -1.741329
0 11.026238 -1.855276
0 -8.062411 0.103818
0 9.013150 1.792544
0 8.882725 -1.709350
0 -7.992682 0.107886
0 -11.063261 -1.661289
0 11.886259 0.018671
0 10.755137 1.552628
0 12.009118 0.020465
0 -11.996670 0.097163
0 -9.107234 1.719712
0 8.867218 -1.693087
0 -12.024462 0.075723
0 -10.997703 -1.682901
0 8.946498 -1.722457
0 9.027707 -1.652667
0 11.083546 1.925911
0 8.744950 1.689681
0 -8.979062 1.897915
0 11.014065 -1.757015
0 -11.940328 -0.018778
0 -7.870905 -0.057301
0 -10.986203 -1.788643
0 12.086514 -0.165110
0 -12.061209 0.178367
0 -9.174376 1.868541
0 11.006577 1.696679
0 -9.014780 1.516891
0 8.955023 -1.729559
0 11.964637 0.072374
0 -10.806168 1.681372
0 -11.967374 0.027758
0 -10.930581 -1.547107
0 -9.085840 1.609532
0 9.083593 -1.724281
0 -8.792539 1.589350
0 -11.126036 -1.633849
0 -11.860106 -0.021904
0 12.017377 -0.095167
0 -8.891172 -1.848436
0 11.927983 0.125418
0 -8.112252 -0.022455
0 -9.037885 1.609640
0 10.928628 1.696530
0 -7.948153 0.140362
0 -11.017483 -1.835432
0 -12.084268 0.085573
0 8.935651 1.716508
0 -11.160203 1.675606
0 -8.191891 0.007581
0 -8.819576 1.713789
0 -10.959335 1.635291
0 -12.205874 -0.083838
0 -11.103169 -1.578364
0 -11.066659 1.816735
0 8.963651 -1.758517
0 -10.929463 -1.619297
0 11.127852 1.625210
0 9.227085 1.621035
0 -10.996152 -1.673810
0 -11.089880 1.791219
0 11.030977 -1.661660
0 8.801529 -1.713022
0 10.863562 -1.827031
0 -10.958950 -1.825962
0 -10.920692 -1.773527
0 9.038875 -1.686344
0 9.145541 1.879543
0 -12.097878 -0.027446
0 8.992586 1.700509
0 -10.941721 -2.025467
0 -12.162397 -0.103343
0 -11.950441 -0.125069
0 10.786611 1.883264
0 8.026830 0.162203
0 11.053329 1.778645
0 10.904362 1.747844
0 -11.014400 -1.672440
0 -9.064916 1.795713
0 -11.163725 -1.843879
0 -11.073625 -1.778888
0 11.896124 -0.034378
0 -9.103603 1.648588
0 -10.977224 -1.809538
0 -11.160713 -1.715882
0 9.094523 1.657117
0 11.144762 -1.636802
0 11.144428 1.802608
0 11.037052 1.718752
0 7.771294 -0.224139
0 9.065628 -1.753009
0 -8.046812 -0.051074
0 9.089595 1.578996
0 -9.057805 -1.861063
0 -10.925845 -1.986153
0 -10.931104 -1.680638
0 -9.137716 -1.827782
0 12.112019 0.088891
0 8.971088 1.968030
0 -10.969563 1.710057
0 -12.043456 -0.105166
0 -8.979029 -1.670920
0 -12.181583 0.000255
0 -10.949792 1.760406
0 -8.046597 -0.026676
0 -11.895270 0.003236
0 -8.977654 -1.589731
0 -10.916060 1.879710
0 -9.070113 -1.565886
0 -8.037522 0.048506
0 -10.923618 -1.564273
0 11.088681 1.740071
0 10.922960 -1.693813
0 -11.958023 -0.055147
0 10.838305 -1.634917
0 11.032612 -1.704056
0 10.995724 -1.709668
0 8.079400 -0.002556
0 10.879170 -1.953390
0 -8.002618 0.120993
0 -11.068920 -1.712152
0 7.880491 0.153555
0 12.014727 0.152055
0 -8.009692 0.005743
0 -11.024254 1.627118
0 -11.997241 0.203620
0 -9.167445 1.841983
0 -8.004094 0.026109
0 7.876898 -0.010568
0 11.997671 0.089326
0 9.022014 -1.813357
0 11.118632 1.704795
0 -7.863959 -0.022063
0 -11.954955 0.079240
0 -8.108959 -0.125049
0 8.967962 1.781156
0 -8.955389 1.685934
0 8.974730 1.694863
0 -9.056988 1.722760
0 8.998989 -1.712396
0 8.095581 0.144022
0 -11.060739 1.758233
0 -10.722921 1.825521
0 8.943771 1.842835
0 -9.035275 -1.818771
0 11.032183 1.749572
0 9.041806 1.711459
0 -8.003795 0.045815
0 -7.846315 -0.165582
0 10.876210 1.782417
0 -11.060093 -1.682912
0 10.977983 1.720957
0 8.049748 0.056744
0 8.086781 0.071656
0 7.955631 -0.027449
0 10.972256 1.771466
0 11.085995 -1.832256
0 -12.079707 0.094732
0 11.107484 1.755991
0 -9.033010 1.690928
0 11.156048 -1.710117
0 10.875819 -1.852919
0 -9.102190 -1.644535
0 -9.089149 1.800200
0 -8.065393 0.067304
0 8.770829 1.753773
0 -8.996177 1.802139
0 -7.869846 -0.003788
0 -9.100509 -1.857525
0 -9.011272 1.755460
0 8.082822 0.077000
0 -8.982737 -1.655536
0 -9.032022 -1.723684
0 8.940778 -1.705434
0 7.925635 0.154514
0 -8.930781 1.683345
0 -8.993204 1.829521
0 7.956012 -0.139356
0 9.002752 1.797409
0 -12.151866 0.025309
0 -7.991595 -0.010199
0 10.859650 1.856814
0 8.025254 -0.053084
0 -8.890991 -1.706830
0 11.011780 -1.687689
0 11.939364 0.062626
0 8.900105 -1.777300
0 11.934433 0.078241
0 11.027412 -1.501254
0 -9.051745 1.685871
0 -10.933943 -1.728451
0 9.206299 -1.583109
0 -11.964091 -0.054956
0 8.786527 -1.821486
0 -11.044053 -1.744790
0 -9.025859 -1.809796
0 -10.941545 -1.696182
0 8.029574 -0.070476
0 9.202347 1.776285
0 7.954568 -0.026635
0 8.947349 -1.801072
0 11.928038 0.002933
0 11.003750 -1.728590
0 -9.124706 1.775045
0 -12.058626 0.071821
0 -11.902274 0.193614
0 -9.165260 1.732996
0 -10.931188 -1.910276
0 -8.950345 1.730271
0 -8.999029 -1.598978
0 -9.120031 1.889342
0 11.128819 1.602690
0 -10.967096 1.710429
0 11.008389 -1.762065
0 11.862295 -0.101650
0 10.864847 -1.653643
0 8.012351 0.071299
0 12.024143 -0.024025
0 11.038927 -1.883961
0 -9.043770 -1.773553
0 10.957393 1.821542
0 -9.061024 1.772940
0 11.022292 -1.702432
0 -9.140285 -1.883563
0 9.038952 -1.623459
0 -7.895638 0.096038
0 11.043612 1.890801
0 10.963790 -1.783391
0 11.077391 1.801450
0 8.921721 1.675663
0 9.049135 1.572555
0 11.092676 1.686183
0 7.938248 -0.147842
0 10.882082 1.860132
0 11.007496 -1.595378
0 8.138995 0.083174
0 9.003859 1.560045
0 10.959859 1.677646
0 9.031883 1.602976
0 8.878961 1.686615
0 -12.037605 0.018336
0 11.839866 -0.080186
0 -8.985802 -1.761548
0 -8.953742 1.844368
0 -9.029368 -1.961634
0 12.025061 -0.080409
0 -9.050108 -1.749729
0 9.217004 -1.468989
0 8.006083 -0.095825
0 -11.090822 1.817279
0 -12.078393 -0.007231
0 7.941072 -0.119686
0 -11.037415 1.766258
0 11.881197 -0.065187
0 -9.091468 1.721750
0 -11.044840 -1.653208
0 10.975612 1.693990
0 8.978531 -1.659460
0 12.094596 -0.034572
0 -7.925153 0.015225
0 -8.950320 1.766775
0 12.117367 0.009536
0 -7.969481 -0.083758
0 8.893081 -1.643875
0 8.931699 -1.714104
0 8.926581 1.648575
0 12.004251 -0.004649
0 -10.836660 1.607854
0 8.906623 1.647905
0 -12.076499 0.033035
0 8.951227 1.626239
0 8.097428 0.202304
0 9.013735 -1.764694
0 -9.062506 1.771992
0 -11.024029 1.781644
0 9.026889 1.618642
0 -11.768474 -0.030590
0 -12.129132 -0.129259
0 -12.031528 0.094149
0 8.088357 0.078066
0 -8.941209 1.837450
0 -12.058280 0.025011
0 9.101320 1.791008
0 10.796106 1.851611
0 11.063880 1.765259
0 8.867261 -1.720439
0 -11.152535 1.757815
0 -8.048448 -0.025740
0 8.052341 0.006219
0 8.897503 -1.769003
0 9.058541 1.723556
0 -8.903687 1.624210
0 -11.030660 -1.876693
0 -9.137966 1.719537
0 11.070944 1.635452
0 -8.949073 1.700729
0 -8.060851 -0.122960
0 -11.047747 1.581270
0 9.036634 -1.686013
0 11.972178 0.036195
0 8.935400 1.604233
0 -12.143393 0.143974
0 11.948118 -0.184552
0 8.874695 1.703151
0 -11.065351 1.747215
0 8.093023 -0.039789
0 -9.048728 -1.644927
0 -11.014127 1.656625
0 8.963127 -1.705837
0 7.876268 0.131908
0 -9.093331 1.727344
0 8.056705 0.060127
0 -9.085523 1.777568
0 -8.097122 -0.038231
0 8.934847 -1.868663
0 -11.878542 0.065477
0 12.046768 0.173229
0 7.925439 -0.135317
0 7.792470 0.090486
0 -10.956605 -1.739718
0 -8.814487 -1.581425
0 -10.923441 -1.672675
0 -11.123704 -1.649116
0 11.103051 1.681303
0 8.179207 0.056398
0 10.939479 1.687191
0 -11.024747 1.674920
0 8.955832 1.814553
0 -8.171721 0.161266
0 10.958719 1.733466
0 10.922597 1.774321
0 8.384442 0.208411
0 -8.944795 -1.765827
0 11.082850 -1.703360
0 -11.019640 -1.719409
0 -8.866461 -1.684509
0 -8.012687 -0.075255
0 11.927189 0.010675
0 -8.956261 1.779829
0 -8.060414 0.070384
0 9.066793 -1.764983
0 9.130226 -1.781392
0 8.156493 -0.079801
0 -10.896238 -1.713041
0 -10.879915 1.693443
0 10.870010 -1.601222
0 11.203035 -1.625586
0 -10.916194 -1.591643
0 -10.963658 -1.817998
0 -8.010827 -0.062505
0 9.063953 1.866456
0 -8.903908 -1.772561
0 -8.052001 0.194344
0 11.891321 -0.066178
0 7.907166 -0.132029
0 -10.987443 1.569301
0 -7.951960 -0.065611
0 -10.851669 1.714566
0 10.941930 1.609732
0 7.911914 0.019854
0 -11.082562 -1.625598
0 -7.960898 0.179684
